iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"50","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","47","219",,,,"0","0","0","0"
"51","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","62","219",,,,"0","0","0","0"
"52","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","48","219",,,,"0","0","0","0"
"53","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","47","219",,,,"0","0","0","0"
"54","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","48","219",,,,"0","0","0","0"
"55","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","48","219",,,,"0","0","0","0"
"56","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","46","219",,,,"0","0","0","0"
"57","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","45","219",,,,"0","0","0","0"
"58","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","46","219",,,,"0","0","0","0"
"59","Load data","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","POST","https://stg-platform-encrypt-decrypt-z6qdhvvftq-et.a.run.app/masking-data?action=decrypt","OK","200","48","219",,,,"0","0","0","0"
